plant_id,type,n,c2,c1,c0
BIG BEND-SUN,SUN,1,0,8.903847588917753,0
BIG BEND-NG,NG,1,0,12.421496227664631,0
BIG BEND-BIT,BIT,1,0,11.460419577206261,0
VOGTLE-NUC,NUC,1,0,10.441610027214987,0
DEERHAVEN GENERATING STATION-NG,NG,1,0,14.07116161688584,0
DEERHAVEN GENERATING STATION-BIT,BIT,1,0,12.441467404390192,0
JOHN R KELLY-NG,NG,1,0,8.189334766666141,0
G W IVEY-NG,NG,1,0,-1.522842639593909,0
J D KENNEDY-NG,NG,1,0,11.238398002386491,0
NORTHSIDE GENERATING STATION-BIT,BIT,1,0,10.270060793137402,0
NORTHSIDE GENERATING STATION-DFO,DFO,1,0,17.34505185980962,0
NORTHSIDE GENERATING STATION-NG,NG,1,0,10.30704512039273,0
TOM G SMITH-DFO,DFO,1,0,43.771364973368314,0
TOM G SMITH-NG,NG,1,0,12.858203385068599,0
LARSEN MEMORIAL-NG,NG,1,0,10.998543062037717,0
C D MCINTOSH JR-BIT,BIT,1,0,11.493451512733534,0
C D MCINTOSH JR-NG,NG,1,0,6.956753443409468,0
C D MCINTOSH JR-DFO,DFO,1,0,51.56819839533188,0
W K SANDERS-WAT,WAT,1,0,8.905151425503982,0
KERCKHOFF 2-WAT,WAT,1,0,8.904003376437917,0
INDIAN RIVER PLANT-NG,NG,1,0,205.22684321390105,0
ARVAH B HOPKINS-NG,NG,1,0,7.837372693205608,0
S O PURDOM-NG,NG,1,0,7.394926339063343,0
J WOODRUFF-WAT,WAT,1,0,8.90400725431907,0
MEDICINE BOW-WND,WND,1,0,8.901868941249873,0
TRENTON NORTH-DFO,DFO,1,0,11.113178132744315,0
BARTLETTS FERRY-WAT,WAT,1,0,8.903998842923352,0
BOWEN-BIT,BIT,1,0,9.830640145886306,0
BURTON DAM-WAT,WAT,1,0,8.903980925417786,0
FLINT RIVER-WAT,WAT,1,0,8.903697622225309,0
GOAT ROCK-WAT,WAT,1,0,8.903943136077658,0
HAMMOND-BIT,BIT,1,0,12.67598489942221,0
JACK MCDONOUGH-NG,NG,1,0,7.13970178775308,0
LANGDALE-WAT,WAT,1,0,0.0,0
LLOYD SHOALS-WAT,WAT,1,0,8.904027694348324,0
TOADTOWN-WAT,WAT,1,0,8.903626537432679,0
MCMANUS-DFO,DFO,1,0,17.033889773894415,0
MORGAN FALLS-WAT,WAT,1,0,8.904204755316803,0
NACOOCHEE-WAT,WAT,1,0,8.90396034775549,0
NORTH HIGHLANDS-WAT,WAT,1,0,8.903979805894133,0
OLIVER DAM-WAT,WAT,1,0,8.904010303895372,0
SINCLAIR DAM-WAT,WAT,1,0,8.904039517452304,0
TALLULAH FALLS-WAT,WAT,1,0,8.903993689012967,0
TERRORA-WAT,WAT,1,0,8.904025094623321,0
TUGALO-WAT,WAT,1,0,8.903996007733982,0
YATES-NG,NG,1,0,10.400179543724471,0
YONAH-WAT,WAT,1,0,8.904062359938585,0
BOULEVARD-DFO,DFO,1,0,-102.77878219628484,0
STEVENS CREEK-WAT,WAT,1,0,8.903995544864882,0
ETIWANDA-WAT,WAT,1,0,8.904026600455454,0
MOCCASIN LOW HEAD HYDRO PROJECT-WAT,WAT,1,0,0.0,0
LAKE BLACKSHEAR PROJECT-WAT,WAT,1,0,8.904034509017116,0
CRISP PLANT-NG,NG,1,0,27.62261809344055,0
HARTWELL LAKE-WAT,WAT,1,0,8.904000660176251,0
BLUE RIDGE-WAT,WAT,1,0,8.904095140789062,0
NOTTELY-WAT,WAT,1,0,8.904006441550676,0
